Year,Month,Day,State,Reporting Region,Energy_Source,Unit,Data_Source,hydro_shape,Generation,date,unit,region,capacity,day,month,year,CF
2010,1,5,PARANA,S,Hydro,GWh,ONS Hourly,PARANA Atlantico Sul,6.307740032672882,2010-01-05,GW,PARANA Atlantico Sul,0.26,5,1,2010,1.010855774466808
2010,1,6,PARANA,S,Hydro,GWh,ONS Hourly,PARANA Atlantico Sul,6.253559976816177,2010-01-06,GW,PARANA Atlantico Sul,0.26,6,1,2010,1.0021730732077208
2010,1,7,PARANA,S,Hydro,GWh,ONS Hourly,PARANA Atlantico Sul,6.269479900598526,2010-01-07,GW,PARANA Atlantico Sul,0.26,7,1,2010,1.0047243430446355
2010,1,8,PARANA,S,Hydro,GWh,ONS Hourly,PARANA Atlantico Sul,6.364450007677078,2010-01-08,GW,PARANA Atlantico Sul,0.26,8,1,2010,1.0199439114867113
2010,1,9,PARANA,S,Hydro,GWh,ONS Hourly,PARANA Atlantico Sul,6.3763799369335175,2010-01-09,GW,PARANA Atlantico Sul,0.26,9,1,2010,1.0218557591239612
2010,1,10,PARANA,S,Hydro,GWh,ONS Hourly,PARANA Atlantico Sul,6.38374000787735,2010-01-10,GW,PARANA Atlantico Sul,0.26,10,1,2010,1.0230352576726522
2010,1,11,PARANA,S,Hydro,GWh,ONS Hourly,PARANA Atlantico Sul,6.293360009789467,2010-01-11,GW,PARANA Atlantico Sul,0.26,11,1,2010,1.008551283620107
2010,1,12,PARANA,S,Hydro,GWh,ONS Hourly,PARANA Atlantico Sul,6.365730047225952,2010-01-12,GW,PARANA Atlantico Sul,0.26,12,1,2010,1.0201490460298
2010,1,13,PARANA,S,Hydro,GWh,ONS Hourly,PARANA Atlantico Sul,6.344019949436188,2010-01-13,GW,PARANA Atlantico Sul,0.26,13,1,2010,1.0166698636916967
2010,1,14,PARANA,S,Hydro,GWh,ONS Hourly,PARANA Atlantico Sul,6.3668400049209595,2010-01-14,GW,PARANA Atlantico Sul,0.26,14,1,2010,1.0203269238655384
2010,1,15,PARANA,S,Hydro,GWh,ONS Hourly,PARANA Atlantico Sul,6.383560001850128,2010-01-15,GW,PARANA Atlantico Sul,0.26,15,1,2010,1.023006410552905
2010,1,16,PARANA,S,Hydro,GWh,ONS Hourly,PARANA Atlantico Sul,6.3855099976062775,2010-01-16,GW,PARANA Atlantico Sul,0.26,16,1,2010,1.0233189098728008
2010,1,17,PARANA,S,Hydro,GWh,ONS Hourly,PARANA Atlantico Sul,6.391849905252457,2010-01-17,GW,PARANA Atlantico Sul,0.26,17,1,2010,1.0243349207135346
2010,1,18,PARANA,S,Hydro,GWh,ONS Hourly,PARANA Atlantico Sul,6.382050067186356,2010-01-18,GW,PARANA Atlantico Sul,0.26,18,1,2010,1.0227644338439672
2010,1,20,PARANA,S,Hydro,GWh,ONS Hourly,PARANA Atlantico Sul,6.3117300271987915,2010-01-20,GW,PARANA Atlantico Sul,0.26,20,1,2010,1.011495196666473
2010,1,21,PARANA,S,Hydro,GWh,ONS Hourly,PARANA Atlantico Sul,6.2896899580955505,2010-01-21,GW,PARANA Atlantico Sul,0.26,21,1,2010,1.0079631343101842
2010,1,22,PARANA,S,Hydro,GWh,ONS Hourly,PARANA Atlantico Sul,6.335519939661026,2010-01-22,GW,PARANA Atlantico Sul,0.26,22,1,2010,1.015307682637985
